Year,United States,China
2000,41.449999995726074,44.19999999573179
2001,41.35999999572371,43.869999995728904
2002,41.26999999572135,43.53999999572602
2003,41.17999999571899,43.20999999572314
2004,41.089999995716624,42.879999995720254
2005,40.99999999571426,42.54999999571737
2006,40.9099999957119,42.21999999571449
2007,40.81999999570954,41.889999995711605
2008,40.729999995707175,41.55999999570872
2009,40.63999999570481,41.22999999570584
2010,40.54999999570245,40.899999995702956
2011,40.45999999570006,40.56999999570007
2012,40.3699999956977,40.239999995697076
2013,40.279999995695334,39.90999999569419
2014,40.18999999569297,39.57999999569131
2015,40.09999999569061,39.24999999568843
2016,40.00999999568825,38.919999995685544
2017,39.919999995685885,38.58999999568266
2018,39.82999999568352,38.25999999567978
2019,39.73999999568116,37.929999995676894
2020,39.6499999956788,37.59999999567401
2021,39.559999995676435,37.26999999567113
2022,39.469999995674044,36.939999995668245
2023,39.37999999567168,36.60999999566536
2024,39.28999999566932,36.27999999566248
2025,39.19999999566696,35.949999995659596
2026,39.109999995664595,35.61999999565671
2027,39.01999999566223,35.289999995653716
2028,38.92999999565987,34.95999999565083
2029,38.83999999565751,34.62999999564795
2030,38.749999995655145,34.29999999564507
2031,38.65999999565278,33.96999999564218
2032,38.56999999565042,33.6399999956393
2033,38.47999999564803,33.30999999563642
2034,38.38999999564567,32.979999995633534
2035,38.299999995643304,32.64999999563065
2036,38.20999999564094,32.31999999562777
2037,38.11999999563858,31.989999995624885
2038,38.02999999563622,31.659999995622
2039,37.939999995633855,31.32999999561912
2040,37.84999999563149,30.999999995616236
2041,37.75999999562913,30.66999999561324
2042,37.66999999562677,30.339999995610356
2043,37.57999999562438,30.009999995607473
2044,37.489999995622014,29.67999999560459
2045,37.39999999561965,29.349999995601706
2046,37.30999999561729,29.019999995598823
2047,37.21999999561493,28.68999999559594
2048,37.129999995612565,28.359999995593057
2049,37.0399999956102,28.029999995590174
2050,36.94999999560784,27.69999999558729
