Year,China,United States
2000,10.53,70.48
2001,12.02,66.05
2002,14.24,63.86
2003,15.11,63.2
2004,19.83,72.53
2005,20.8,77.17
2006,24.73,77.9
2007,29.23,80.18
2008,31.22,75.61
2009,34.34,72.85
2010,41.29,77.36
2011,45.51,78.45
2012,49.53,79.12
2013,54.12,79.85
2014,59.05,81.98
2015,64.32,85.69
2016,70.27,88.32
2017,78.38,91.19
2018,85.51,95.47
2019,91.27,99.37
2020,66.74,43.09
2021,70.79,73.71
2022,70.79,73.71
2023,70.79,73.71
2024,89.72,82.49
2025,93.13,82.95
2026,96.54,83.42
2027,99.95,83.88
2028,103.36,84.34
2029,106.77,84.81
2030,110.18,85.27
2031,113.59,85.73
2032,117.0,86.2
2033,120.41,86.66
2034,123.82,87.12
2035,127.23,87.58
2036,130.64,88.05
2037,134.05,88.51
2038,137.46,88.97
2039,140.87,89.44
2040,144.28,89.9
2041,147.69,90.36
2042,151.1,90.83
2043,154.51,91.29
2044,157.92,91.75
2045,161.32,92.22
2046,164.74,92.68
2047,168.14,93.14
2048,171.55,93.6
2049,174.96,94.07
2050,178.37,94.53
