Year,China,US
2000,1.9916000000739587,56.427899999958754
2001,2.387200000070152,56.74349999996048
2002,2.800000000061118,57.08169999996608
2003,3.230000000046857,57.44249999997555
2004,3.677200000049197,57.825899999974354
2005,4.141600000039034,58.23189999998431
2006,4.62320000003092,58.660499999983585
2007,5.122000000032131,59.11169999998674
2008,5.638000000028114,59.58549999999377
2009,6.171200000018871,60.081899999997404
2010,6.721600000018952,60.60089999999764
2011,7.289200000013807,61.142500000001746
2012,7.874000000017986,61.706700000002456
2013,8.476000000009662,62.29349999999977
2014,9.095200000010664,62.902900000000955
2015,9.731600000013714,63.53489999999874
2016,10.38520000000426,64.18950000000041
2017,11.056000000004133,64.86669999999867
2018,11.744000000006054,65.56650000000081
2019,12.449200000010023,66.28889999999228
2020,13.171600000008766,67.0338999999949
2021,13.911200000009558,67.80149999998685
2022,14.668000000019674,68.59169999998994
2023,15.442000000017288,69.40449999998236
2024,16.233200000024226,70.23989999997866
2025,17.041600000025937,71.09789999997156
2026,17.867200000029698,71.97849999996834
2027,18.710000000035507,72.88169999996171
2028,19.570000000043365,73.80749999995896
2029,20.447200000045996,74.75589999995282
2030,21.341600000050676,75.72689999994327
2031,22.253200000057404,76.7204999999376
2032,23.182000000066182,77.73669999992853
2033,24.128000000069733,78.77549999992334
2034,25.09120000008261,79.83689999991475
2035,26.071600000090257,80.92089999990276
2036,27.06920000010723,82.02749999989464
2037,28.0840000001117,83.15669999988313
2038,29.116000000125496,84.3084999998755
2039,30.165200000134064,85.48289999986446
2040,31.23160000014468,86.67989999985002
2041,32.31520000015735,87.89949999983946
2042,33.41600000017206,89.1416999998255
2043,34.534000000174274,90.40649999981542
2044,35.66920000019309,91.69389999980194
2045,36.82160000020667,93.00389999978506
2046,37.99120000022231,94.33649999977206
2047,39.178000000232714,95.69169999975566
2048,40.38200000025245,97.06949999974313
2049,41.60320000026695,98.4698999997272
2050,42.841600000283506,99.89289999971515
