Year,China,US
2000,2.85,50.4
2001,3.39,50.85
2002,3.95,51.32
2003,4.52,51.81
2004,5.11,52.31
2005,5.71,52.83
2006,6.33,53.37
2007,6.96,53.92
2008,7.61,54.49
2009,8.27,55.07
2010,8.95,55.68
2011,9.64,56.3
2012,10.35,56.93
2013,11.07,57.58
2014,11.81,58.25
2015,12.56,58.94
2016,13.33,59.64
2017,14.11,60.36
2018,14.91,61.1
2019,15.72,61.85
2020,16.55,62.62
2021,17.4,63.4
2022,18.26,64.21
2023,19.13,65.03
2024,20.02,65.86
2025,20.92,66.72
2026,21.84,67.58
2027,22.78,68.47
2028,23.73,69.37
2029,24.69,70.29
2030,25.67,71.23
2031,26.67,72.18
2032,27.68,73.15
2033,28.7,74.14
2034,29.74,75.14
2035,30.8,76.16
2036,31.87,77.2
2037,32.95,78.25
2038,34.06,79.32
2039,35.17,80.41
2040,36.3,81.51
2041,37.45,82.63
2042,38.61,83.77
2043,39.79,84.92
2044,40.98,86.09
2045,42.18,87.27
2046,43.41,88.48
2047,44.64,89.7
2048,45.89,90.93
2049,47.16,92.19
2050,48.44,93.46
