Year,China,US
1992,4000.0,42647.0
1993,3712.498,53271.4
1994,3424.996,63895.8
1995,3137.4939999999997,74520.2
1996,2849.9919999999997,85144.6
1997,2562.49,95769.0
1998,2553.6733999999997,103604.4
1999,2544.8568,111439.8
2000,2536.0402,119275.2
2001,2527.2236000000003,127110.6
2002,2518.407,134946.0
2003,7315.9436000000005,186660.4
2004,12113.480200000002,238374.8
2005,16911.0168,290089.2
2006,21708.5534,341803.6
2007,26506.09,393518.0
2008,38765.578,378453.6
2009,51025.066000000006,363389.2
2010,63284.554000000004,348324.8
2011,75544.042,333260.4
2012,87803.53,318196.0
2013,101900.484,320112.8
2014,115997.438,322029.6
2015,130094.39199999999,323946.4
2016,144191.346,325863.2
2017,158288.3,327780.0
2018,155931.24,336823.2
2019,153574.18,345866.4
2020,151217.12,354909.6
2021,148860.06,363952.8
2022,146503.0,372996.0
2023,146503.0,372996.0
2024,146503.0,372996.0
2025,146503.0,372996.0
2026,146503.0,372996.0
2027,146503.0,372996.0
2028,146503.0,372996.0
2029,146503.0,372996.0
2030,146503.0,372996.0
2031,146503.0,372996.0
2032,146503.0,372996.0
2033,146503.0,372996.0
2034,146503.0,372996.0
2035,146503.0,372996.0
2036,146503.0,372996.0
2037,146503.0,372996.0
2038,146503.0,372996.0
2039,146503.0,372996.0
2040,146503.0,372996.0
2041,146503.0,372996.0
2042,146503.0,372996.0
2043,146503.0,372996.0
2044,146503.0,372996.0
2045,146503.0,372996.0
2046,146503.0,372996.0
2047,146503.0,372996.0
2048,146503.0,372996.0
2049,146503.0,372996.0
2050,146503.0,372996.0
