Year,United States,China
2000,48.14202797202779,46.499230769230735
2001,49.70410256410241,47.230512820512786
2002,51.26617715617704,47.96179487179484
2003,52.82825174825166,48.69307692307689
2004,54.39032634032628,49.42435897435894
2005,55.952400932400906,50.15564102564099
2006,57.51447552447553,50.88692307692304
2007,59.07655011655015,51.61820512820509
2008,60.638624708624775,52.34948717948714
2009,62.2006993006994,53.08076923076919
2010,63.76277389277402,53.81205128205124
2011,65.32484848484864,54.543333333333294
2012,66.88692307692281,55.274615384615345
2013,68.44899766899744,56.005897435897396
2014,70.01107226107206,56.737179487179446
2015,71.57314685314668,57.4684615384615
2016,73.1352214452213,58.19974358974355
2017,74.69729603729593,58.9310256410256
2018,76.25937062937055,59.66230769230765
2019,77.82144522144517,60.3935897435897
2020,79.3835198135198,61.12487179487175
2021,80.94559440559442,61.8561538461538
2022,82.50766899766904,62.58743589743585
2023,84.06974358974367,63.318717948717904
2024,85.63181818181829,64.04999999999995
2025,87.19389277389291,64.781282051282
2026,88.75596736596754,65.51256410256406
2027,90.3180419580417,66.2438461538461
2028,91.88011655011633,66.97512820512816
2029,93.44219114219095,67.70641025641021
2030,95.00426573426557,68.43769230769226
2031,96.5663403263402,69.16897435897431
2032,98.12841491841482,69.90025641025636
2033,99.69048951048944,70.63153846153841
2034,101.25256410256407,71.36282051282046
2035,102.81463869463869,72.09410256410251
2036,104.37671328671331,72.82538461538456
2037,105.93878787878793,73.55666666666662
2038,107.50086247086256,74.28794871794867
2039,109.06293706293718,75.01923076923072
2040,110.6250116550118,75.75051282051277
2041,112.18708624708597,76.48179487179482
2042,113.7491608391606,77.21307692307687
2043,115.31123543123522,77.94435897435892
2044,116.87331002330984,78.67564102564097
2045,118.43538461538446,79.40692307692302
2046,119.99745920745909,80.13820512820507
2047,121.55953379953371,80.86948717948712
2048,123.12160839160833,81.60076923076917
2049,124.68368298368296,82.33205128205122
2050,126.24575757575758,83.06333333333328
