Year,China,US
2000,80044400.0,74158000.0
2001,87292800.0,72520000.0
2002,94541200.0,70882000.0
2003,101789600.0,69244000.0
2004,109038000.0,67606000.0
2005,112525600.0,86186400.0
2006,116013200.0,104766800.0
2007,119500800.0,123347200.0
2008,122988400.0,141927600.0
2009,126476000.0,160508000.0
2010,126880600.0,164068671.8
2011,127285200.0,167629343.6
2012,127689800.0,171190015.4
2013,128094400.0,174750687.2
2014,128499000.0,178311359.0
2015,135306800.0,175744687.2
2016,142114600.0,173178015.4
2017,148922400.0,170611343.6
2018,155730200.0,168044671.8
2019,162538000.0,165478000.0
2020,169345800.0,162911328.2
2021,176153600.0,160344656.4
2022,182961400.0,157777984.6
2023,189769200.0,155211312.8
2024,196577000.0,152644641.0
2025,203384800.0,150077969.2
2026,210192600.0,147511297.4
2027,217000400.0,144944625.6
2028,223808200.0,142377953.8
2029,230616000.0,139811282.0
2030,237423800.0,137244610.2
2031,244231600.0,134677938.4
2032,251039400.0,132111266.6
2033,257847200.0,129544594.80000001
2034,264655000.0,126977923.0
2035,271462800.0,124411251.2
2036,278270600.0,121844579.4
2037,285078400.0,119277907.6
2038,291886200.0,116711235.80000001
2039,298694000.0,114144564.0
2040,305501800.0,111577892.2
2041,312309600.0,109011220.4
2042,319117400.0,106444548.60000001
2043,325925200.0,103877876.80000001
2044,332733000.0,101311205.0
2045,339540800.0,98744533.2
2046,346348600.0,96177861.4
2047,353156400.0,93611189.60000001
2048,359964200.0,91044517.80000001
2049,366772000.0,88477846.0
2050,373579800.0,85911174.2
