Year,China,US
2000,2.77,43.92
2001,3.68,51.35
2002,4.6,58.79
2003,6.88,62.03
2004,9.16,65.27
2005,11.44,68.51
2006,13.72,71.76
2007,16.0,75.0
2008,21.26,74.94
2009,26.52,74.88
2010,31.78,74.82
2011,37.04,74.76
2012,42.3,74.7
2013,44.7,77.21
2014,47.1,79.73
2015,49.5,82.24
2016,51.9,84.76
2017,54.3,87.27
2018,57.4,90.6
2019,60.5,93.93
2020,63.6,97.26
2021,66.71,100.0
2022,75.61,97.1
2023,77.71,100.0
2024,79.81,100.0
2025,81.91,100.0
2026,84.01,100.0
2027,86.11,100.0
2028,88.21,100.0
2029,90.31,100.0
2030,92.41,100.0
2031,94.51,100.0
2032,96.61,100.0
2033,98.71,100.0
2034,100.0,100.0
2035,100.0,100.0
2036,100.0,100.0
2037,100.0,100.0
2038,100.0,100.0
2039,100.0,100.0
2040,100.0,100.0
2041,100.0,100.0
2042,100.0,100.0
2043,100.0,100.0
2044,100.0,100.0
2045,100.0,100.0
2046,100.0,100.0
2047,100.0,100.0
2048,100.0,100.0
2049,100.0,100.0
2050,100.0,100.0
