Year,China,US
2000,-0.8027984006109601,0.001133832687082433
2001,-0.7944576094555926,-0.01769029480455418
2002,-1.2754112745786497,0.041165496274536036
2003,-1.2628728348168314,0.04109794268114007
2004,-1.2424748093353164,0.09028081955162935
2005,-1.2292430017266978,0.11661651122444511
2006,-1.209777254053067,0.12382227619203602
2007,-1.1891248146497317,0.1387583123064701
2008,-1.1726070161843853,0.12537739394293324
2009,-1.1535643719231181,0.12100580376679831
2010,-1.1268212806002618,0.15262365225933186
2011,-1.1051239670496615,0.16746214830852077
2012,-1.0836302512508806,0.1803995550117315
2013,-1.060350280576343,0.18840114012862563
2014,-1.0359749796161999,0.2034550351835693
2015,-1.010864086258164,0.22644674120463676
2016,-0.9841109327533764,0.2442905207767468
2017,-0.9529327055960292,0.26342009179125864
2018,-0.9232480660572493,0.2954069734483058
2019,-0.8959418343288521,0.32568954376560233
2020,-0.9278547607581445,0.060084683411336395
2021,-0.9034051167939607,0.22202520870823134
2022,-0.8867100811353461,0.23361716257566173
2023,-0.8688670819063093,0.24555406510648237
2024,-0.8132283333165266,0.30084881972700944
2025,-0.7874805826905399,0.3155586977125959
2026,-0.7610645190109833,0.33042289360470695
2027,-0.7339801422778576,0.34558284365866215
2028,-0.7062274524911606,0.3609678297468089
2029,-0.6778064496509227,0.3766270463706931
2030,-0.6487171337571148,0.3924621045271939
2031,-0.6187196795512815,0.4085221987178865
2032,-0.588053912291878,0.42491647975893004
2033,-0.5567198319789337,0.4415465586472187
2034,-0.5243577007247072,0.4583417172550705
2035,-0.491207343787712,0.475421868211713
2036,-0.45726876116789,0.49283620601872175
2037,-0.4224220402361008,0.5104263853583468
2038,-0.3865472683630296,0.5282416007321634
2039,-0.34976435817796225,0.5463910029563314
2040,-0.3119533970516419,0.5647162467131163
2041,-0.27299447235484176,0.583326482818706
2042,-0.23312740934601556,0.6022709057746474
2043,-0.19199247013753912,0.6213911702632197
2044,-0.14970956735852406,0.6407964271005828
2045,-0.10629831402348269,0.6604159581590696
2046,-0.06146004583065501,0.6803911996940292
2047,-0.015513040096226338,0.7005914772631656
2048,0.031961280110820056,0.7210167908664937
2049,0.08094330177600073,0.741836247634787
2050,0.13119319964088977,0.7628915022503251
