Year,China,US
2000,-1.6615508596245439,-0.252067237867872
2001,-1.6010120328858044,-0.20532659782376161
2002,-1.540473206147076,-0.16881228840626317
2003,-1.479934379408348,-0.22177837197153633
2004,-1.4193955526696085,-0.2951971167900222
2005,-1.3588567259308804,-0.34305003504199594
2006,-1.2983178991921522,-0.3346581348476497
2007,-1.2377790724534126,-0.3288228173099511
2008,-1.1772402457146842,-0.3805106095469032
2009,-1.1167014189759563,-0.37978845732251
2010,-1.0561625922372166,-0.45065061948434054
2011,-0.9768577197446848,-0.4218060580367865
2012,-0.8744313485740669,-0.336377423813295
2013,-0.8085173121999439,-0.2954624963678725
2014,-0.7361436304407772,-0.23537319899756562
2015,-0.6629986477401123,-0.1374926989219267
2016,-0.5881182379210776,-0.01538597577039258
2017,-0.5009049548908185,0.05147191529502178
2018,-0.43594710284082827,0.13366930230033544
2019,-0.33467543134711086,0.18471798077696883
2020,-0.3309342882470616,0.06153674111954413
2021,-0.2824735643343031,-0.04734046599948952
2022,-0.09783928813521739,-0.09163742359205793
2023,-0.12916187934459689,-0.000403408948507422
2024,-0.06267914444344302,-0.008451798008225118
2025,0.003984001684684416,0.005048897272661688
2026,0.070647147812823,0.01854959255354472
2027,0.13731029394094413,0.03205028783443124
2028,0.2039734400690718,0.04555098311532124
2029,0.2706365861972055,0.05905167839620078
2030,0.3372997323253265,0.07255237367708758
2031,0.4039628784534541,0.08605306895797762
2032,0.47062602458159297,0.09955376423886439
2033,0.5372891707097143,0.11305445951974716
2034,0.6039523168378419,0.12655515480063423
2035,0.6706154629659739,0.1400558500815204
2036,0.7372786090941015,0.15355654536240348
2037,0.8039417552222291,0.16705724064329003
2038,0.8706049013503614,0.18055793592418032
2039,0.9372680474784889,0.19405863120505817
2040,1.0039311936066166,0.20755932648594042
2041,1.0705943397347488,0.22106002176682785
2042,1.1372574858628766,0.23456071704771428
2043,1.2039206319910043,0.24806141232859724
2044,1.270583778119136,0.26156210760948423
2045,1.3372469242472638,0.27506280289037416
2046,1.4039100703753915,0.28856349817126087
2047,1.470573216503524,0.30206419345214364
2048,1.5372363626316514,0.3155648887330311
2049,1.603899508759779,0.32906558401391717
2050,1.6705626548879118,0.3425662792947999
