Year,China,United States
2000,-1.0071213173762086,-0.2940410920240643
2001,-0.9889813829115033,-0.2719862832282698
2002,-1.2154799976184134,-0.21589440185079306
2003,-1.1894769425471527,-0.1905098376989266
2004,-1.1595440978371845,-0.1320842275781057
2005,-1.1336186670057513,-0.098131609980881
2006,-1.1045762693629546,-0.05380374162715582
2007,-1.0749405226341613,-0.006013986515675793
2008,-1.0400119179351976,-0.01613957680002441
2009,-1.003820893559416,-0.012378809088789446
2010,-0.964127478548275,-0.006640112349141261
2011,-0.9241420487813355,0.005664916710241968
2012,-0.8786081170902729,0.010877397184619997
2013,-0.8411477889984122,0.04573250364752604
2014,-0.8021708489559924,0.07587778124421066
2015,-0.7619879867297754,0.11379732643179391
2016,-0.7207236771412852,0.14784928103909706
2017,-0.6804012827985065,0.188404802424181
2018,-0.6463276530744613,0.23138284552161592
2019,-0.6079961511179057,0.2688364266698734
2020,-0.6139038107203877,0.140856097455954
2021,-0.584913562594342,0.21033955694790968
2022,-0.5409918812903405,0.20535059903398317
2023,-0.5283689105011199,0.23860326380989832
2024,-0.4821772661149462,0.27291168309583846
2025,-0.4509040590266246,0.29016002671539776
2026,-0.4192966986326588,0.30748552928821915
2027,-0.3873551784907684,0.3249589089419618
2028,-0.3550795018220916,0.3425448066128022
2029,-0.3224696686266434,0.3602678195515089
2030,-0.28952567890441205,0.3780787532565257
2031,-0.25612762002616707,0.3960022049786398
2032,-0.22239540462113527,0.4140927501259275
2033,-0.1883290326893356,0.43230119419683743
2034,-0.15445189257488284,0.45059217812752944
2035,-0.12130064196658287,0.46902565823261666
2036,-0.08775527851687018,0.48762623176288655
2037,-0.0537558459111738,0.506314726059465
2038,-0.019242387834835756,0.5251157383731412
2039,0.01572513939749981,0.5440838441119898
2040,0.051206692100461804,0.5631398706171477
2041,0.08726222658866428,0.5823383932967081
2042,0.12377183023287913,0.6017040094014449
2043,0.16091537197691913,0.6211575462724965
2044,0.19863289550622898,0.6407535793179442
2045,0.23691459431355164,0.6604567494739553
2046,0.27590980054976716,0.6803377748682011
2047,0.3154593755567839,0.7003313182795352
2048,0.3557726078001087,0.7204373797079651
2049,0.39683969077250086,0.740740512718878
2050,0.43854071184474785,0.7611615446534121
