Year,China,US
1992,-0.4123976450195688,-0.6421192093657083
1993,-0.4136236105908819,-0.6161940637344184
1994,-0.41484957616219487,-0.5902689181031285
1995,-0.4160755417335078,-0.5643437724718384
1996,-0.4173015073048208,-0.5384186268405485
1997,-0.4185274728761338,-0.5124934812092585
1998,-0.4185650686078367,-0.49337391812057496
1999,-0.4186026643395396,-0.4742543550318914
2000,-1.617360190982296,-1.8447638729126374
2001,-1.590010118852267,-1.7225900198679132
2002,-1.5626021869382511,-1.600284424042055
2003,-1.496823472786012,-1.3968027344958815
2004,-1.4310447801080564,-1.1933210449497078
2005,-1.3680947870440017,-0.9492847824685111
2006,-1.3051448154542302,-0.7051167772061805
2007,-1.2421948223901755,-0.46108051472498385
2008,-1.1301769730650109,-0.446166256072485
2009,-1.0181591452141292,-0.431251997419986
2010,-0.9084602033328253,-0.4464646856451394
2011,-0.7987612829258047,-0.4616773738702923
2012,-0.6745151891966511,-0.5002081560104942
2013,-0.5735349675848714,-0.42858032937670526
2014,-0.4725547459730918,-0.35682075996178186
2015,-0.3667583187371421,-0.2974833125332785
2016,-0.2609618700269094,-0.23801412232364066
2017,-0.18852797500784485,-0.15018925610877
2018,-0.1305184544048424,-0.07142929499752981
2019,-0.07250891232755668,0.007330666113710443
2020,-0.014499391724554167,0.08609062722495045
2021,0.04356803161100216,0.1570777642492706
2022,0.090853484865167,0.1105351558480396
2023,0.14161119019451857,0.1822558975983335
2024,0.19236889552387035,0.215771232819699
2025,0.2431266008532219,0.24928656804106453
2026,0.2938842847082905,0.2828019032624301
2027,0.34464199003764207,0.31631723848379173
2028,0.3953996953669937,0.34983257370515725
2029,0.44615740069634535,0.3833479089265229
2030,0.49691510602569705,0.41686324414788817
2031,0.5476728113550486,0.45037857936925385
2032,0.5984305166844005,0.4838939145906193
2033,0.6491882220137519,0.5174092498119849
2034,0.6952575454231782,0.5509245850333506
2035,0.7338601865156857,0.5844399202547158
2036,0.7724628276081933,0.6179552554760817
2037,0.811065468700701,0.651470590697447
2038,0.8496681097932085,0.6849859259188126
2039,0.888270750885716,0.7185012611401781
2040,0.9268733919782235,0.7520165963615436
2041,0.9654760330707312,0.7855319315829052
2042,1.0040786741632388,0.8190472668042708
2043,1.0426813152557464,0.8525626020256363
2044,1.081283956348254,0.8860779372470017
2045,1.1198865974407615,0.9195932724683673
2046,1.158489238533269,0.9531086076897328
2047,1.1970918796257766,0.9866239429110986
2048,1.2356945207182841,1.0201392781324639
2049,1.2742971618107917,1.0536546133538294
2050,1.3128998029032992,1.087169948575195
