Year,China,USA
2000,-0.9706863962979482,0.14526313109034145
2001,-0.9695510836708466,0.2065674825588885
2002,-0.9684157710437449,0.2372231533114498
2003,-0.9672804584166433,0.2678788240640224
2004,-0.9661451457895416,0.4055559104389771
2005,-0.9650098331624395,0.32919016556914554
2006,-0.9638745205353378,0.3598458363217068
2007,-0.9627392079082361,0.3905015070742686
2008,-0.9616038952811345,0.4140734952586943
2009,-0.9604685826540328,0.45181284857939125
2010,-0.9593332700269311,0.4824685193319641
2011,-0.9581979573998295,0.5131241900845257
2012,-0.9570626447727278,0.4400372803630627
2013,-0.9559273321456262,0.5744355315896486
2014,-0.9547920195185244,0.6050912023422101
2015,-0.9536567068914229,0.6357468730947716
2016,-0.9525213942643211,0.6202964935902212
2017,-0.9513860816372195,0.6970582145999056
2018,-0.9502507690101178,0.7277138853524674
2019,-0.9491154563830161,0.7583695561050287
2020,-0.9479801437559146,0.8695848052504878
2021,-0.9468448311288128,0.8196808976101518
2022,-0.9457095185017108,0.8503365683627131
2023,-0.9445742058746092,0.8809922391152744
2024,-0.9434388932475074,0.9116479098678473
2025,-0.9423035806204058,0.9423035806204089
2026,-0.9411682679933041,0.9729592513729701
2027,-0.9400329553662025,1.0036149221255317
2028,-0.9388976427391008,1.0342705928780933
2029,-0.937762330111999,1.064926263630655
2030,-0.9366270174848974,1.095581934383216
2031,-0.9354917048577958,1.1262376051357887
2032,-0.9343563922306941,1.1568932758883501
2033,-0.9332210796035925,1.187548946640912
2034,-0.9320857669764908,1.218204617393473
2035,-0.9309504543493891,1.248860288146035
2036,-0.9298151417222875,1.2795159588985963
2037,-0.9286798290951858,1.3101716296511576
2038,-0.9275445164680841,1.3408273004037303
2039,-0.9264092038409825,1.3714829711562917
2040,-0.9252738912138804,1.402138641908853
2041,-0.9241385785867787,1.4327943126614149
2042,-0.9230032659596771,1.4634499834139767
2043,-0.9218679533325754,1.4941056541665374
2044,-0.9207326407054738,1.5247613249190992
2045,-0.919597328078372,1.5554169956716721
2046,-0.9184620154512704,1.5860726664242328
2047,-0.9173267028241687,1.6167283371767946
2048,-0.9161913901970671,1.6473840079293565
2049,-0.9150560775699654,1.6780396786819178
2050,-0.9139207649428637,1.7086953494344792
