Year,China,US
2000,-1.6816819849907858,0.5390345140436658
2001,-1.6144147055911582,0.5389608571869603
2002,-1.5471474261915112,0.5165041548041668
2003,-1.4798801467918836,0.49404745242138226
2004,-1.4126128673922562,0.5497495863141407
2005,-1.3453455879926208,0.4491340476557961
2006,-1.278078308592993,0.42667734527300266
2007,-1.2108110291933656,0.4042206428902524
2008,-1.1435437497937375,0.3765906545547775
2009,-1.0762764703940908,0.35930723812466636
2010,-1.0090091909944634,0.3368505357418391
2011,-0.9417419115948354,0.31439383335908844
2012,-0.8744746321952079,0.21617286160163451
2013,-0.8072073527955802,0.2694804285935023
2014,-0.7399400733959526,0.2470237262107093
2015,-0.672672793996306,0.22456702382791616
2016,-0.6054055145966784,0.16843860058065022
2017,-0.5381382351970505,0.1796536190623383
2018,-0.4708709557974229,0.1571969166795452
2019,-0.40360367639779526,0.1347402142967522
2020,-0.3363363969981674,0.17111699735629238
2021,-0.269069117598521,0.08982680953116605
2022,-0.20180183819888559,0.06737010714837305
2023,-0.13453455879925777,0.04491340476557992
2024,-0.06726727939963009,0.0224567023827951
2025,-2.340160940396682e-15,2.0485521331050225e-15
2026,0.06726727939962523,-0.022456702382748526
2027,0.1345345587992717,-0.044913404765584024
2028,0.20180183819889952,-0.06737010714833461
2029,0.26906911759852714,-0.08982680953117012
2030,0.336336396998155,-0.11228351191392073
2031,0.4036036763977825,-0.13474021429670557
2032,0.4708709557974101,-0.15719691667949887
2033,0.5381382351970568,-0.17965361906229166
2034,0.6054055145966846,-0.20211032144508476
2035,0.6726727939963122,-0.2245670238278778
2036,0.7399400733959398,-0.2470237262106709
2037,0.8072073527955675,-0.26948042859346394
2038,0.8744746321951951,-0.29193713097624874
2039,0.9417419115948422,-0.3143938333590419
2040,1.0090091909944774,-0.3368505357418349
2041,1.0762764703941052,-0.35930723812462806
2042,1.1435437497937326,-0.38176394050742096
2043,1.2108110291933603,-0.404220642890214
2044,1.2780783085929883,-0.426677345273007
2045,1.3453455879926342,-0.44913404765579196
2046,1.4126128673922629,-0.4715907500385851
2047,1.4798801467918898,-0.4940474524213357
2048,1.5471474261915175,-0.5165041548041708
2049,1.6144147055911455,-0.5389608571869217
2050,1.6816819849907731,-0.5614175595697574
