Year,China,US
2000,-1.647510788216381,0.5283558312534636
2001,-1.6316983095090514,0.5409706398482779
2002,-1.6151983317276923,0.5544887902500951
2003,-1.5980108548723038,0.5689102824589153
2004,-1.5801358789420135,0.5842351164741569
2005,-1.5615734039379845,0.6004632922966923
2006,-1.5423234298596353,0.6175948099256493
2007,-1.522385956706675,0.6356296693616088
2008,-1.5017609844796855,0.6545678706045716
2009,-1.4804485131786664,0.6744094136542468
2010,-1.4584485428030363,0.6951542985106336
2011,-1.4357610733533768,0.716802525174024
2012,-1.4123861048291062,0.7393540936441261
2013,-1.388323637231097,0.7628090039209405
2014,-1.3635736705584767,0.7871672560047582
2015,-1.3381362048115362,0.8124288498952876
2016,-1.3120112399908572,0.8385937855928203
2017,-1.285198776095567,0.8656620630970651
2018,-1.2576988131259565,0.893633682408313
2019,-1.229511351082026,0.9225086435259822
2020,-1.200636389964066,0.9522869464509451
2021,-1.1710739297717858,0.9829685911823295
2022,-1.1408239705048944,1.0145535777210077
2023,-1.1098865121642645,1.0470419060661074
2024,-1.0782615547490235,1.0804335762182098
2025,-1.0459490982597532,1.1147285881770246
2026,-1.0129491426961625,1.1499269419428422
2027,-0.9792616880582518,1.1860286375153721
2028,-0.9448867343460207,1.223033674894905
2029,-0.90982428155976,1.2609420540811502
2030,-0.8740743296991793,1.2997537750741075
2031,-0.8376368787642785,1.3394688378740678
2032,-0.8005119287550572,1.3800872424807402
2033,-0.7626994796718067,1.4216089888944157
2034,-0.7241995315139451,1.4640340771148033
2035,-0.685012084282054,1.507362507141903
2036,-0.6451371379755518,1.5515942789760058
2037,-0.6045746925953112,1.596729392616821
2038,-0.5633247481404593,1.6427678480646388
2039,-0.5213873046115781,1.689709645319169
2040,-0.4787623620083767,1.7375547843804113
2041,-0.435449920330855,1.7863032652486566
2042,-0.3914499795790131,1.8359550879236142
2043,-0.34676253975343263,1.8865102524055746
2044,-0.30138760085295024,1.9379687586942473
2045,-0.2553251628784384,1.9903306067896323
2046,-0.20857522582960641,2.04359579669202
2047,-0.1611377897067447,2.0977643284011203
2048,-0.1130128545092725,2.1528362019172227
2049,-0.06420042023777058,2.2088114172400384
2050,-0.01470048689194815,2.265689974369857
