Year,China,US
2000,-1.6131997879096749,0.2874153853480606
2001,-1.5916155146487039,0.30540227973220335
2002,-1.5692318238595484,0.32418859164453
2003,-1.5464484243063015,0.3437743210850409
2004,-1.5228656072248699,0.3637597592896438
2005,-1.4988830813793463,0.3845446150224307
2006,-1.4741011380056388,0.40612888828340177
2007,-1.4489194858678391,0.4281128703084651
2008,-1.4229384162018555,0.45089626986171244
2009,-1.3965576377717797,0.47407937817905177
2010,-1.3693774418135194,0.49846161278866724
2011,-1.3417975370911677,0.5232435561623747
2012,-1.3134182148406315,0.5484252083001745
2013,-1.2846391838260034,0.5744062779661582
2014,-1.2550607352831908,0.6011867651603262
2015,-1.2250825779762866,0.628766669882678
2016,-1.1943050031411984,0.6567462833691222
2017,-1.1631277195420178,0.6855253143837504
2018,-1.131151018414653,0.7151037629265627
2019,-1.0987746085231964,0.7450819202334671
2020,-1.0655987811035554,0.7758594950685554
2021,-1.0316235361557307,0.8070367786677359
2022,-0.9972485824438135,0.8394131885591924
2023,-0.9624739199678046,0.8721893072147415
2024,-0.9268998399636115,0.9053651346343823
2025,-0.8909260511953262,0.9397400883462992
2026,-0.8541528448988569,0.9741150420582162
2027,-0.8165802210742034,1.0096891220624093
2028,-0.7786078884854579,1.0456629108306947
2029,-0.7402358471326204,1.0824361171271641
2030,-0.7010643882515986,1.1200087409518176
2031,-0.6610935118423928,1.1579810735405631
2032,-0.620722926669095,1.1967528236574927
2033,-0.5799526327317052,1.2363239913026063
2034,-0.5383829212661312,1.276294867711812
2035,-0.4960137922723729,1.3170651616492017
2036,-0.4532449545145227,1.3586348731147762
2037,-0.4100764079925804,1.400604293344442
2038,-0.36570873517836194,1.443373131102292
2039,-0.32134106236414356,1.4869413863883265
2040,-0.27617397202174115,1.5309093504384532
2041,-0.23020746415115428,1.5756767320167633
2042,-0.1838412475164757,1.621243531123258
2043,-0.13667561335361286,1.667210038993845
2044,-0.08911027042665806,1.7139759643926156
2045,-0.04114521873561099,1.7611415985554781
2046,0.008018959247712013,1.8095063590106175
2047,0.057183137231035304,1.8582708282298486
2048,0.10714673274254255,1.907435006213172
2049,0.15790974578223374,1.9577983104887708
2050,0.20907246758601722,2.008561323528462
