Year,China,US
2000,-1.6200657570449568,-1.22727741618567
2001,-1.5908423655512174,-1.6631407000117977
2002,-1.5473014735269883,-1.8786126168468351
2003,-1.5302381509769525,-1.9435493589067088
2004,-1.437664722889402,-1.0255799597875754
2005,-1.4186400988968333,-0.569054985306034
2006,-1.3415609522052925,-0.4972310130276876
2007,-1.253302387291314,-0.2729040859117577
2008,-1.2142724885849103,-0.7225418301748283
2009,-1.1530798835778855,-0.9940954787888492
2010,-1.0167694333218529,-0.5503610747130401
2011,-0.9340025124469664,-0.4431170613111259
2012,-0.8551581944571458,-0.3771964292200411
2013,-0.7651344582448881,-0.3053724569416962
2014,-0.6684422971280187,-0.0958038802939186
2015,-0.5650817111065377,0.2692193212850718
2016,-0.4483842752758332,0.5279823994933589
2017,-0.2893227282864192,0.810358838450692
2018,-0.1494819354338268,1.2314637718086656
2019,-0.0365109723439349,1.6151808839806514
2020,-0.5176182161972428,-3.9221522116704586
2021,-0.4381855077746621,-0.9094809361047704
2022,-0.4381855077746621,-0.9094809361047704
2023,-0.4381855077746621,-0.9094809361047704
2024,-0.066911144703194,-0.0456254887021984
2025,-3.07655128240167e-05,-0.0003665472665275
2026,0.0668496136775463,0.0458762842003525
2027,0.1337299928679164,0.091135225636022
2028,0.2006103720582864,0.1363941670716928
2029,0.2674907512486565,0.182636998538573
2030,0.3343711304390269,0.2278959399742424
2031,0.4012515096293969,0.2731548814099133
2032,0.468131888819767,0.3193977128767934
2033,0.5350122680101371,0.3646566543124629
2034,0.6018926472005072,0.4099155957481337
2035,0.6687730263908775,0.4551745371838032
2036,0.7356534055812473,0.5014173686506833
2037,0.8025337847716179,0.5466763100863542
2038,0.869414163961988,0.5919352515220236
2039,0.936294543152358,0.6381780829889038
2040,1.0031749223427282,0.6834370244245747
2041,1.0700553015330982,0.7286959658602441
2042,1.1369356807234683,0.7749387973271242
2043,1.2038160599138383,0.820197738762795
2044,1.2706964391042084,0.8654566801984644
2045,1.3373806881503254,0.9116995116653448
2046,1.4044571974849491,0.9569584531010156
2047,1.4711414465310657,1.002217394536685
2048,1.5380218257214362,1.0474763359723545
2049,1.6049022049118062,1.0937191674392346
2050,1.6717825841021765,1.1389781088749054
