Year,China,US
2000,-1.6332997113196932,1.8916558679855926
2001,-1.5827757419825301,1.9076345095896605
2002,-1.5322517726453666,1.898047324627219
2003,-1.4817278033082035,1.6647591572078186
2004,-1.43120383397104,1.3803393366553949
2005,-1.380679864633877,1.1598340825192426
2006,-1.3301558952967136,1.0799408744988988
2007,-1.27963192595955,0.9936562098369289
2008,-1.229107956622387,0.7635637707383395
2009,-1.1785839872852235,0.6644961927931126
2010,-1.1280600179480604,0.3864678288823196
2011,-1.0306209342263883,0.35770627399499483
2012,-0.9331818505047162,0.49192686346917275
2013,-0.835742766783044,0.49192686346917275
2014,-0.7383036830613722,0.5398627882813762
2015,-0.6408645993397,0.6644961927931126
2016,-0.5434255156180279,0.8498484354003094
2017,-0.4351598670383922,0.9105672734957744
2018,-0.34854734817468375,1.0096348514409967
2019,-0.2222374248317755,0.9744818399120457
2020,-0.12118948615744901,0.6836705627179958
2021,-0.25337906703091084,0.28110712439764796
2022,-0.18754429922024893,0.21398590409365573
2023,-0.12170953140958723,0.14686468378964534
2024,-0.05587476359894197,0.07974346348565313
2025,0.009960004211719968,0.01262224318166091
2026,0.0757947720223814,-0.054498977122349475
2027,0.14162953983302667,-0.12162019742634168
2028,0.20746430764368834,-0.1887414177303339
2029,0.27329907545435,-0.2558626380343443
2030,0.3391338432649953,-0.3229838583383365
2031,0.40496861107565696,-0.39010507864232874
2032,0.4708033788863187,-0.45722629894632094
2033,0.536638146696964,-0.5243475192503313
2034,0.6024729145076256,-0.5914687395543236
2035,0.6683076823182709,-0.6585899598583158
2036,0.7341424501289325,-0.7257111801623262
2037,0.7999772179395943,-0.7928324004663183
2038,0.8658119857502395,-0.8599536207703106
2039,0.9316467535609012,-0.9270748410743028
2040,0.9974815213715629,-0.9941960613783132
2041,1.063316289182208,-1.0613172816823053
2042,1.1291510569928698,-1.1284385019862977
2043,1.194985824803532,-1.195559722290308
2044,1.260820592614177,-1.2626809425943002
2045,1.3266553604248386,-1.3298021628982923
2046,1.3924901282355007,-1.3969233832022847
2047,1.4583248960461455,-1.464044603506295
2048,1.5241596638568076,-1.5311658238102872
2049,1.5899944316674688,-1.5982870441142796
2050,1.6558291994781147,-1.66540826441829
