Year,China,US
2050,1.680537662163974,1.6813815414077817
2049,1.613316155677396,1.6141262797514695
2048,1.5460946491908472,1.5468710180951586
2047,1.478873142704298,1.4796157564388448
2046,1.41165163621772,1.4123604947825323
2045,1.3444301297311707,1.34510523312622
2044,1.2772086232446214,1.2778499714699079
2043,1.2099871167580438,1.2105947098135954
2042,1.1427656102714943,1.1433394481572825
2041,1.075544103784945,1.0760841865009707
2040,1.0083225972983674,1.0088289248446571
2039,0.9411010908118179,0.9415736631883461
2038,0.8738795843252689,0.8743184015320561
2037,0.806658077838691,0.8070631398757431
2036,0.7394365713521416,0.7398078782194314
2035,0.6722150648655921,0.6725526165631184
2034,0.6049935583790147,0.6052973549068075
2033,0.5377720518924657,0.5380420932504945
2032,0.4705505454059158,0.4707868315941821
2031,0.4033290389193383,0.4035315699378698
2030,0.33610753243278885,0.33627630828155747
2029,0.2688860259462394,0.2690210466252451
2028,0.2016645194596619,0.2017657849689328
2027,0.13444301297311248,0.13451052331262048
2026,0.0672215064865626,0.06725526165630884
2025,-1.4468316220146823e-14,-4.182231506705291e-15
2024,-0.06722150648656347,-0.06725526165631651
2023,-0.13444301297311334,-0.13451052331262883
2022,0.009698232860997294,-0.31015593368821304
2021,-0.3296741813980222,-0.23136980514687178
2020,-0.4116249064321604,-0.3096960924710454
2019,-0.4935756314662986,-0.3748402649030882
2018,-0.5061092717656374,-0.4401377177408533
2017,-0.5482897920037968,-0.5129459104590187
2016,-0.6244557599767018,-0.5857541031771842
2015,-0.6806161097795083,-0.6720509715989258
2014,-0.7324378917863897,-0.7585011204263898
2013,-0.7823314214395268,-0.8271707421900486
2012,-0.8160758376300543,-0.895840363953708
2011,-0.9411010908118188,-0.9415736631883538
2010,-1.0083225972983683,-1.008828924844667
2009,-1.0755441037849458,-1.0760841865009791
2008,-1.1427656102714951,-1.1433394481572914
2007,-1.2099871167580447,-1.2105947098136038
2006,-1.2772086232446223,-1.2778499714699154
2005,-1.3444301297311716,-1.3451052331262285
2004,-1.411651636217721,-1.4123604947825408
2003,-1.4788731427042985,-1.479615756438853
2002,-1.546094649190848,-1.5468710180951655
2001,-1.6133161556773974,-1.6141262797514562
2000,-1.680537662163975,-1.6813815414077677
