Year,China,US
2000,-1.6800795511553832,-1.6808848424950102
2001,-1.6128763691091674,-1.6136494487952164
2002,-1.5456731870629516,-1.5464140550954226
2003,-1.4784700050167359,-1.4791786613956128
2004,-1.41126682297052,-1.411943267695819
2005,-1.3440636409243043,-1.344707873996008
2006,-1.2768604588780885,-1.2774724802962154
2007,-1.2096572768318727,-1.2102370865964056
2008,-1.142454094785657,-1.1430016928966118
2009,-1.0752509127394427,-1.0757662991968169
2010,-1.0080477306932254,-1.0085309054970082
2011,-0.9408445486470096,-0.9412955117972143
2012,-0.8736413666007938,-0.8740601180974045
2013,-0.806438184554578,-0.8068247243976107
2014,-0.7392350025083623,-0.7395893306978009
2015,-0.6720318204621449,-0.672353936998007
2016,-0.6048286384159292,-0.6051185432982132
2017,-0.5376254563697149,-0.5378831495984024
2018,-0.4704222743234992,-0.47064775589860963
2019,-0.2417510441394062,-0.27569324613307067
2020,-0.5890426560560894,-0.44026523489618014
2021,-0.24626132481364957,-0.33617696849900003
2022,-0.13350430795758353,-0.26584705877117515
2023,-0.13350430795758353,-0.02672536569657014
2024,-0.06720318204620455,-0.0672353936997988
2025,1.1216615092627966e-14,-4.997240646376958e-15
2026,0.067203182046227,0.0672353936998048
2027,0.13440636409244278,0.1344707873995986
2028,0.20160954613865853,0.2017061810994084
2029,0.2688127281848487,0.2689415747992022
2030,0.3360159102310645,0.33617696849899603
2031,0.4032190922772802,0.40341236219880583
2032,0.470422274323496,0.47064775589859964
2033,0.5376254563697118,0.5378831495984094
2034,0.6048286384159292,0.6051185432982032
2035,0.6720318204621433,0.6723539369979971
2036,0.739235002508359,0.7395893306978069
2037,0.8064381845545748,0.8068247243976007
2038,0.8736413666007906,0.8740601180974105
2039,0.9408445486470064,0.9412955117972043
2040,1.0080477306932223,1.0085309054970142
2041,1.075250912739438,1.075766299196808
2042,1.1424540947856539,1.1430016928966018
2043,1.2096572768318694,1.2102370865964116
2044,1.2768604588780836,1.2774724802962054
2045,1.344063640924301,1.3447078739960152
2046,1.4112668229705168,1.411943267695809
2047,1.4784700050167325,1.4791786613956188
2048,1.5456731870629483,1.5464140550954126
2049,1.612876369109164,1.6136494487952064
2050,1.6800795511553814,1.6808848424950162
