Year,China,USA
2000,-1.4424333917004324,-1.2952852084682074
2001,-1.4303768970050772,-1.3140296243261615
2002,-1.418320482838284,-1.332774040184116
2003,-1.368750240773805,-1.241131003598606
2004,-1.3191800792378883,-1.1494879670130962
2005,-1.2696098371734095,-1.0578449304275863
2006,-1.2200396756374925,-0.9662018938420767
2007,-1.1704694335730137,-0.8745588572565668
2008,-1.1208991915085351,-0.868027683851653
2009,-1.0713290299726181,-0.861496510446739
2010,-1.0217587879081393,-0.8549653370418254
2011,-0.9721886263722226,-0.8484341636369115
2012,-0.8680665648783074,-0.9293458424134152
2013,-0.8184963228138287,-0.8795174712577588
2014,-0.76892608074935,-0.8296891001021023
2015,-0.719355919213433,-0.7798607289464459
2016,-0.6697856771489542,-0.7300323577907893
2017,-0.7453250114263563,-0.573376166186255
2018,-0.6270376537877698,-0.5564348826923704
2019,-0.5087502156206213,-0.539493599198486
2020,-0.39046285798203473,-0.5225523157046016
2021,-0.27217541981488624,-0.5056110322107172
2022,-0.31999505147318313,-0.6507703119637418
2023,-0.24488767240157533,-0.5562321598367836
2024,-0.16978029332996727,-0.4616940077098255
2025,-0.09467291425835946,-0.3671558555828674
2026,-0.019565615715313327,-0.27261770345590924
2027,0.055541763356294495,-0.17807955132895115
2028,0.13064914242790254,-0.08354139920199301
2029,0.20575652149951038,0.010996752924965115
2030,0.2808639005711182,0.10553490505192324
2031,0.355971279642726,0.20007305717888135
2032,0.4310786587143343,0.2946112093058395
2033,0.5061860377859421,0.3891493614327976
2034,0.58129341685755,0.48368751355975576
2035,0.6564007959291578,0.5782256656867139
2036,0.7315081750007656,0.672763817813672
2037,0.8066155540723738,0.7673019699406302
2038,0.8817229331439816,0.8618401220675882
2039,0.9568303122155895,0.9563782741945464
2040,1.0319376912871974,1.0509164263215045
2041,1.107045070358805,1.1454545784484627
2042,1.1821524494304134,1.2399927305754208
2043,1.2572598285020213,1.334530882702379
2044,1.332367207573629,1.429069034829337
2045,1.407474586645237,1.523607186956295
2046,1.4825819657168446,1.6181453390832532
2047,1.557689344788453,1.7126834912102116
2048,1.632796723860061,1.8072216433371697
2049,1.7079041029316686,1.9017597954641279
2050,1.7830114820032765,1.996297947591086
