Year,United States,China
2000,-1.681681984990787,-1.6816819849907811
2001,-1.6144147055911542,-1.6144147055911493
2002,-1.5471474261915217,-1.5471474261915188
2003,-1.4798801467918892,-1.4798801467918874
2004,-1.4126128673922564,-1.4126128673922562
2005,-1.345345587992624,-1.345345587992625
2006,-1.2780783085929912,-1.2780783085929937
2007,-1.2108110291933587,-1.2108110291933625
2008,-1.143543749793726,-1.1435437497937313
2009,-1.0762764703940935,-1.0762764703941
2010,-1.009009190994461,-1.0090091909944687
2011,-0.9417419115948282,-0.9417419115948374
2012,-0.8744746321952153,-0.8744746321952056
2013,-0.8072073527955826,-0.8072073527955743
2014,-0.73994007339595,-0.7399400733959437
2015,-0.6726727939963174,-0.6726727939963125
2016,-0.6054055145966849,-0.6054055145966812
2017,-0.5381382351970523,-0.53813823519705
2018,-0.47087095579741967,-0.4708709557974187
2019,-0.40360367639778705,-0.4036036763977875
2020,-0.33633639699815443,-0.33633639699815626
2021,-0.2690691175985218,-0.269069117598525
2022,-0.20180183819888925,-0.20180183819889375
2023,-0.13453455879925663,-0.1345345587992625
2024,-0.06726727939962403,-0.06726727939963124
2025,8.56742536674701e-15,0.0
2026,0.06726727939964117,0.06726727939963124
2027,0.1345345587992542,0.1345345587992625
2028,0.20180183819888678,0.20180183819889375
2029,0.26906911759852,0.269069117598525
2030,0.3363363969981514,0.33633639699815626
2031,0.4036036763977846,0.4036036763977875
2032,0.4708709557974172,0.4708709557974187
2033,0.5381382351970498,0.53813823519705
2034,0.605405514596683,0.6054055145966812
2035,0.6726727939963144,0.6726727939963125
2036,0.7399400733959483,0.7399400733959437
2037,0.8072073527955796,0.807207352795575
2038,0.8744746321952128,0.8744746321952063
2039,0.9417419115948454,0.9417419115948374
2040,1.009009190994478,1.0090091909944687
2041,1.0762764703940904,1.0762764703941
2042,1.1435437497937235,1.1435437497937313
2043,1.2108110291933563,1.2108110291933625
2044,1.2780783085929888,1.2780783085929937
2045,1.3453455879926215,1.345345587992625
2046,1.4126128673922533,1.4126128673922562
2047,1.4798801467918872,1.4798801467918874
2048,1.5471474261915186,1.5471474261915188
2049,1.6144147055911517,1.61441470559115
2050,1.6816819849907845,1.6816819849907811
