Year,China,US
2000,-1.5012998622361204,-1.625215950335717
2001,-1.4195205788299474,-1.6744990715032435
2002,-1.3377412954237742,-1.72378219267077
2003,-1.255962012017601,-1.7730653138382964
2004,-1.1741827286114277,-1.8223484350058228
2005,-1.1348342615280205,-1.2633129621480037
2006,-1.095485794444613,-0.7042774892901845
2007,-1.0561373273612058,-0.1452420164323653
2008,-1.0167888602777984,0.41379345642545384
2009,-0.9774403931943911,0.972828929283273
2010,-0.9728755377688989,1.0799601989763101
2011,-0.9683106823434067,1.1870914686693466
2012,-0.9637458269179145,1.2942227383623837
2013,-0.9591809714924223,1.40135400805542
2014,-0.9546161160669301,1.5084852777484572
2015,-0.8778078541646419,1.4312608593622096
2016,-0.8009995922623536,1.3540364409759629
2017,-0.7241913303600654,1.276812022589715
2018,-0.6473830684577773,1.1995876042034683
2019,-0.570574806555489,1.1223631858172207
2020,-0.4937665446532008,1.045138767430973
2021,-0.41695828275091257,0.9679143490447262
2022,-0.34015002084862433,0.8906899306584785
2023,-0.26334175894633616,0.8134655122722317
2024,-0.18653349704404792,0.736241093885984
2025,-0.10972523514175969,0.6590166754997363
2026,-0.03291697323947148,0.5817922571134896
2027,0.04389128866281674,0.5045678387272419
2028,0.12069955056510497,0.4273434203409951
2029,0.19750781246739318,0.3501190019547474
2030,0.2743160743696814,0.2728945835684997
2031,0.3511243362719696,0.19567016518225291
2032,0.42793259817425783,0.11844574679600522
2033,0.5047408600765461,0.04122132840975799
2034,0.5815491219788342,-0.036003089976489246
2035,0.6583573838811225,-0.11322750836273648
2036,0.7351656457834107,-0.19045192674898373
2037,0.8119739076856989,-0.2676763451352314
2038,0.8887821695879872,-0.34490076352147864
2039,0.9655904314902753,-0.4221251819077259
2040,1.0423986933925635,-0.49934960029397313
2041,1.1192069552948518,-0.5765740186802204
2042,1.19601521719714,-0.653798437066468
2043,1.2728234790994282,-0.7310228554527153
2044,1.3496317410017165,-0.8082472738389626
2045,1.4264400029040047,-0.8854716922252097
2046,1.5032482648062928,-0.962696110611457
2047,1.580056526708581,-1.0399205289977047
2048,1.6568647886108694,-1.1171449473839519
2049,1.7336730505131575,-1.1943693657701993
2050,1.8104813124154457,-1.2715937841564464
