Year,China,US
2000,-1.8882398598852035,-2.9976778251201788
2001,-1.861903887372041,-2.5082533932064943
2002,-1.8352785085675256,-2.018170247387139
2003,-1.7692938741389435,-1.804746941949677
2004,-1.7033092397103613,-1.591323636512216
2005,-1.6373246052817791,-1.3779003310747542
2006,-1.571339970853197,-1.1638183117316216
2007,-1.5053553364246148,-0.9503950062941607
2008,-1.3531276271727102,-0.9543472897281879
2009,-1.200899917920806,-0.9582995731622151
2010,-1.0486722086689013,-0.9622518565962423
2011,-0.8964444994169969,-0.9662041400302686
2012,-0.7442167901650925,-0.9701564234642959
2013,-0.674759280240269,-0.804819233140831
2014,-0.6053017703154457,-0.6388233289116937
2015,-0.5358442603906224,-0.4734861385882289
2016,-0.4663867504657991,-0.3074902343590916
2017,-0.3969292405409758,-0.14215304403562684
2018,-0.3072132902214123,0.07719868655287498
2019,-0.21749733990184877,0.29655041714137775
2020,-0.12778138958228524,0.5159021477298795
2021,-0.03777603297136857,0.6963897578837817
2022,0.2197955663331848,0.50536272523914
2023,0.28057088751740505,0.6963897578837817
2024,0.34134620870162574,0.6963897578837817
2025,0.402121529885846,0.6963897578837817
2026,0.4628968510700666,0.6963897578837817
2027,0.5236721722542869,0.6963897578837817
2028,0.5844474934385071,0.6963897578837817
2029,0.6452228146227278,0.6963897578837817
2030,0.705998135806948,0.6963897578837817
2031,0.7667734569911687,0.6963897578837817
2032,0.827548778175389,0.6963897578837817
2033,0.8883240993596092,0.6963897578837817
2034,0.925657510944202,0.6963897578837817
2035,0.925657510944202,0.6963897578837817
2036,0.925657510944202,0.6963897578837817
2037,0.925657510944202,0.6963897578837817
2038,0.925657510944202,0.6963897578837817
2039,0.925657510944202,0.6963897578837817
2040,0.925657510944202,0.6963897578837817
2041,0.925657510944202,0.6963897578837817
2042,0.925657510944202,0.6963897578837817
2043,0.925657510944202,0.6963897578837817
2044,0.925657510944202,0.6963897578837817
2045,0.925657510944202,0.6963897578837817
2046,0.925657510944202,0.6963897578837817
2047,0.925657510944202,0.6963897578837817
2048,0.925657510944202,0.6963897578837817
2049,0.925657510944202,0.6963897578837817
2050,0.925657510944202,0.6963897578837817
